id,code,country_id/id,name,state_id/id,create_uid/id
__export__.res_district_1_4fdb4779,AR01,base.in,Ariyalur,base.state_in_tn,base.user_root
__export__.res_district_2_01928a89,CH02,base.in,Chennai,base.state_in_tn,base.user_root
__export__.res_district_3_96339edf,CO03,base.in,Coimbatore,base.state_in_tn,base.user_root
__export__.res_district_4_111bfa86,CU04,base.in,Cuddalore,base.state_in_tn,base.user_root
__export__.res_district_5_c872660d,DH05,base.in,Dharmapuri,base.state_in_tn,base.user_root
__export__.res_district_6_1f6a2fe0,DI06,base.in,Dindigul,base.state_in_tn,base.user_root
__export__.res_district_7_c007629e,ER07,base.in,Erode,base.state_in_tn,base.user_root
__export__.res_district_8_2ccbb00b,KL08,base.in,Kallakurichi,base.state_in_tn,base.user_root
__export__.res_district_9_433f341b,KC09,base.in,Kanchipuram,base.state_in_tn,base.user_root
__export__.res_district_10_f247ef85,KK10,base.in,Kanniyakumari,base.state_in_tn,base.user_root
__export__.res_district_11_49355ff8,KR11,base.in,Karur,base.state_in_tn,base.user_root
__export__.res_district_12_b610d6dd,KRI12,base.in,Krishnagiri,base.state_in_tn,base.user_root
__export__.res_district_13_2ee36fe6,MA13,base.in,Madurai,base.state_in_tn,base.user_root
__export__.res_district_14_b519b717,NG14,base.in,Nagapattinam,base.state_in_tn,base.user_root
__export__.res_district_15_3e3e1050,NM15,base.in,Namakkal,base.state_in_tn,base.user_root
__export__.res_district_16_9e50c7bc,NI16,base.in,Nilgiris,base.state_in_tn,base.user_root
__export__.res_district_17_3174e15a,PE17,base.in,Perambalur,base.state_in_tn,base.user_root
__export__.res_district_18_ccd89574,PU18,base.in,Pudukkottai,base.state_in_tn,base.user_root
__export__.res_district_19_f9f306d5,RA19,base.in,Ramanathapuram,base.state_in_tn,base.user_root
__export__.res_district_20_a5087707,SA20,base.in,Salem,base.state_in_tn,base.user_root
__export__.res_district_21_c02ae071,SI21,base.in,Sivaganga,base.state_in_tn,base.user_root
__export__.res_district_22_cf58a33d,TJ22,base.in,Thanjavur,base.state_in_tn,base.user_root
__export__.res_district_23_43acc22e,TH23,base.in,Theni,base.state_in_tn,base.user_root
__export__.res_district_24_793ec270,TK24,base.in,Thoothukudi,base.state_in_tn,base.user_root
__export__.res_district_25_c5687c90,TC25,base.in,Tiruchirappalli,base.state_in_tn,base.user_root
__export__.res_district_26_78d07d08,TI26,base.in,Tirunelveli,base.state_in_tn,base.user_root
__export__.res_district_27_e10e12d3,TP27,base.in,Tiruppur,base.state_in_tn,base.user_root
__export__.res_district_28_4633abc3,TL28,base.in,Tiruvallur,base.state_in_tn,base.user_root
__export__.res_district_29_edfad5cb,TV29,base.in,Tiruvannamalai,base.state_in_tn,base.user_root
__export__.res_district_30_57d08e2c,TR30,base.in,Tiruvarur,base.state_in_tn,base.user_root
__export__.res_district_31_557a1b4b,VE31,base.in,Vellore,base.state_in_tn,base.user_root
__export__.res_district_32_e3f86533,VL32,base.in,Viluppuram,base.state_in_tn,base.user_root
__export__.res_district_33_8f42d35d,VR33,base.in,Virudhunagar,base.state_in_tn,base.user_root
__export__.res_district_34_55f34003,AL34,base.in,Alappuzha,base.state_in_kl,base.user_root
__export__.res_district_35_b102984d,ER35,base.in,Ernakulam,base.state_in_kl,base.user_root
__export__.res_district_36_f3830f3b,ID36,base.in,Idukki,base.state_in_kl,base.user_root
__export__.res_district_37_eac07b9b,KN37,base.in,Kannur,base.state_in_kl,base.user_root
__export__.res_district_38_d9d538bc,KS38,base.in,Kasaragod,base.state_in_kl,base.user_root
__export__.res_district_39_38fc0c06,KL39,base.in,Kollam,base.state_in_kl,base.user_root
__export__.res_district_40_48fe5526,KT40,base.in,Kottayam,base.state_in_kl,base.user_root
__export__.res_district_41_7b4e11f0,KZ41,base.in,Kozhikode,base.state_in_kl,base.user_root
__export__.res_district_42_b6340beb,MA42,base.in,Malappuram,base.state_in_kl,base.user_root
__export__.res_district_43_31ea46b0,PL43,base.in,Palakkad,base.state_in_kl,base.user_root
__export__.res_district_44_b96a028d,PT44,base.in,Pathanamthitta,base.state_in_kl,base.user_root
__export__.res_district_45_0d6098da,TV45,base.in,Thiruvanandapuram,base.state_in_kl,base.user_root
__export__.res_district_46_0d6098db,TS46,base.in,Thrissur,base.state_in_kl,base.user_root
__export__.res_district_47_0d6098dc,WA47,base.in,Wayanad,base.state_in_kl,base.user_root
